Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Jared Swanson,Shepparton,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,20,47.15,38.1,11.7,5.4,17.1,3.8,2.95,0.35,0.0,3.35,0.0,5.45,15.1,35.25,0.428,15.1,34.5,0.438,0.0,0.75,0.0,7.9,11.7,0.675
Timothy Gainey,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,20,46.45,21.55,7.45,3.15,10.6,2.3,0.75,1.65,0.95,3.6,4.4,4.35,7.65,20.05,0.382,5.25,12.15,0.432,2.4,7.9,0.304,3.85,4.9,0.786
Dean Rzechta,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,1,46.0,38.0,4.0,4.0,8.0,4.0,1.0,0.0,0.0,2.0,0.0,3.0,11.0,25.0,0.44,7.0,15.0,0.467,4.0,10.0,0.4,12.0,16.0,0.75
Bart Strzebonski,La Trobe University,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,1,46.0,16.0,5.0,1.0,6.0,5.0,1.0,0.0,0.0,1.0,5.0,4.0,6.0,19.0,0.316,3.0,10.0,0.3,3.0,9.0,0.333,1.0,5.0,0.2
Brett Jarosz,Wyndham,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,20,45.75,25.25,7.25,3.35,10.6,3.75,2.4,0.7,0.0,3.2,0.0,3.7,9.3,22.65,0.411,8.05,18.55,0.434,1.25,4.1,0.305,7.9,9.55,0.827
Paul Fridman,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,21,45.57,14.81,4.33,1.14,5.48,9.38,4.33,0.29,0.0,3.33,0.0,6.81,7.43,24.52,0.303,4.86,15.0,0.324,2.57,9.52,0.27,2.52,3.52,0.716
Kevin Probert,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,2,45.5,22.5,4.0,1.0,5.0,5.5,4.5,0.5,0.0,3.0,0.0,4.5,6.0,16.0,0.375,4.0,8.5,0.471,2.0,7.5,0.267,8.5,12.0,0.708
Thomas Burns,McKinnon,Division Two Men,Division 2 Men,Senior,Male,2006,0.833333333,20,45.5,20.6,6.2,1.6,7.8,7.2,2.65,0.3,0.0,2.8,0.0,5.6,7.3,19.45,0.375,5.5,12.85,0.428,1.8,6.6,0.273,4.2,7.25,0.579
Lee Jeka,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,13,45.38,33.54,3.92,2.08,6.0,4.23,2.0,0.0,0.0,1.92,0.0,4.92,16.0,36.46,0.439,12.54,27.0,0.464,3.46,9.46,0.366,5.0,6.69,0.747
John Constance,Chelsea,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333,22,45.36,17.68,3.77,1.5,5.27,5.09,2.5,0.18,0.0,2.64,0.0,2.91,9.27,25.86,0.358,6.95,17.82,0.39,2.32,8.05,0.288,1.45,2.05,0.707
Sean Mccall,Coburg,Division One Men,Division 1 Men,Senior,Male,2005,0.833333333,2,45.0,30.5,9.0,4.5,13.5,2.0,3.5,1.5,0.0,3.5,0.0,6.0,11.0,25.0,0.44,9.5,18.0,0.528,1.5,7.0,0.214,7.0,11.5,0.609
Warren Estcourt,Bulleen,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,1,45.0,3.0,8.0,0.0,8.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,12.0,32.0,0.375,2.0,9.0,0.222,10.0,23.0,0.435,5.0,6.0,0.833
Vashon Weaver,Latrobe City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333,19,44.84,22.0,6.26,2.68,8.95,5.79,1.26,0.53,0.0,3.37,0.0,6.0,8.32,19.05,0.437,7.53,15.21,0.495,0.79,3.84,0.206,4.58,7.26,0.631
Lee Jeka,Wyndham,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,9,44.78,27.0,6.33,1.89,8.22,6.0,1.67,0.22,0.0,1.0,0.0,4.44,10.11,24.56,0.412,7.89,17.33,0.455,2.22,7.22,0.307,4.56,6.44,0.708
Caitlin Shaw,Diamond Valley,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,24,44.75,16.08,5.21,1.54,6.75,2.71,3.46,0.08,0.0,2.21,0.0,4.0,8.75,28.88,0.303,5.21,17.04,0.306,3.54,11.83,0.299,2.12,2.92,0.726
Travis Banko,Echuca,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,20,44.7,25.2,3.9,1.7,5.6,4.6,2.35,0.1,0.0,2.8,0.0,7.3,10.4,25.1,0.414,9.1,20.5,0.444,1.3,4.6,0.283,5.7,7.7,0.74
Curtis Small,Warrnambool,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,23,44.57,31.43,2.91,1.22,4.13,3.57,2.3,0.13,0.0,2.57,0.0,3.74,16.0,35.65,0.449,11.96,24.74,0.483,4.04,10.91,0.37,3.48,3.91,0.89
Nathan Sellwood,Sunbury,VBL Premier - Men,Division 1 Men,Senior,Male,2002,0.833333333,27,44.56,27.7,4.48,1.96,6.44,4.93,2.07,0.04,0.0,1.56,0.0,3.41,12.04,29.07,0.414,9.7,22.81,0.425,2.33,6.26,0.372,5.96,7.89,0.755
Nathan Crosswell,Sandringham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,21,44.38,25.52,4.1,1.05,5.14,7.48,2.1,0.05,0.0,2.38,0.0,4.38,9.95,21.1,0.472,9.0,18.1,0.497,0.95,3.0,0.317,6.57,8.05,0.816
Sam Belt,Ringwood,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,22,44.32,27.18,8.86,3.0,11.86,3.32,1.09,0.77,0.95,2.27,4.14,2.82,8.73,21.64,0.403,3.86,8.36,0.462,4.86,13.27,0.366,4.86,6.82,0.713
Brad Salter,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,44.3,16.45,5.75,2.55,8.3,5.3,3.4,0.1,0.0,3.25,0.0,2.9,7.35,16.75,0.439,5.9,12.5,0.472,1.45,4.25,0.341,3.2,4.3,0.744
Bryan Short,Hume City,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,29,44.24,21.62,4.79,2.28,7.07,4.9,2.21,0.34,0.0,1.86,0.0,3.31,9.24,24.97,0.37,6.83,18.21,0.375,2.41,6.76,0.357,5.55,7.48,0.742
Bobby Cunningham,Warrnambool,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,22,44.23,22.73,12.41,3.41,15.82,8.23,4.14,0.5,0.0,4.0,0.0,5.18,11.0,27.5,0.4,7.91,18.5,0.428,3.09,9.0,0.343,3.82,5.05,0.756
Daryl Corletto,Ringwood,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,23,44.22,33.48,4.3,2.57,6.87,3.04,2.35,0.48,0.0,2.61,0.0,2.48,14.26,28.17,0.506,12.04,21.78,0.553,2.22,6.39,0.347,7.17,8.13,0.882
Jonathon Lee,Bulleen,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,22,44.18,18.82,3.68,1.27,4.95,4.55,2.18,0.14,0.0,3.0,0.0,4.09,7.91,22.05,0.359,7.05,18.18,0.388,0.86,3.86,0.223,3.86,5.91,0.653
Mick Hill,Sherbrooke,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,23,44.17,34.7,7.3,2.09,9.39,6.7,2.22,0.3,0.0,3.43,0.0,5.22,13.0,26.09,0.498,10.43,18.96,0.55,2.57,7.13,0.36,6.13,7.83,0.783
Dean Rzechta,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,19,44.16,31.84,8.0,3.89,11.89,2.21,2.68,0.11,0.0,3.74,0.0,3.95,12.74,32.26,0.395,10.95,25.68,0.426,1.79,6.58,0.272,8.16,10.37,0.787
Glen Barlow,Latrobe City,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,20,44.1,16.25,10.05,5.45,15.5,3.75,1.15,0.75,1.0,4.0,3.2,2.5,6.5,13.05,0.498,6.45,12.95,0.498,0.05,0.1,0.5,3.2,5.05,0.634
James Denton (Sk),Sherbrooke,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,24,44.08,15.08,3.88,1.42,5.29,3.29,1.75,0.21,0.75,2.83,3.83,2.58,5.38,13.12,0.41,5.0,11.46,0.436,0.38,1.67,0.228,3.96,5.29,0.749
David Barlow,Melbourne,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,3,44.0,32.0,10.0,3.33,13.33,7.67,0.33,0.67,0.67,2.67,5.67,5.33,10.67,22.33,0.478,8.0,14.33,0.558,2.67,8.0,0.334,8.0,10.0,0.8
Nathan Taylor,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,12,44.0,16.58,6.92,2.25,9.17,1.92,0.5,0.67,0.0,3.0,0.0,2.92,6.0,13.0,0.462,4.42,8.08,0.547,1.58,4.92,0.321,3.0,4.17,0.719
Jeff Reid,Latrobe City,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,20,43.85,24.1,4.95,1.95,6.9,4.75,2.65,0.05,0.0,3.45,0.0,3.5,8.2,21.05,0.39,3.95,8.75,0.451,4.25,12.3,0.346,3.45,4.9,0.704
Brett Rainbow,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,43.67,22.54,4.38,1.38,5.75,2.54,1.12,0.71,0.0,2.17,0.0,3.62,7.88,18.38,0.429,4.75,9.54,0.498,3.12,8.83,0.353,3.67,4.54,0.808
Nicole Pavic,Diamond Valley,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,19,43.63,30.37,11.37,5.42,16.79,2.42,2.0,2.84,0.0,2.74,0.0,3.11,12.32,34.16,0.361,11.26,30.84,0.365,1.05,3.32,0.316,6.79,10.47,0.649
Luke Mcmillan,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,23,43.61,27.61,7.91,3.09,11.0,2.39,0.57,1.7,0.0,3.26,0.0,3.17,10.48,21.52,0.487,9.65,19.09,0.506,0.83,2.43,0.342,5.83,8.3,0.702
Greg Smith,Hume City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333,22,43.59,15.82,5.55,1.27,6.82,6.73,1.77,0.41,0.0,3.5,0.0,3.59,5.68,14.36,0.396,4.0,7.73,0.517,1.68,6.64,0.253,2.77,4.77,0.581
Mick Hill,Sherbrooke,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,43.5,35.0,5.5,1.9,7.4,5.25,1.9,0.15,0.0,3.55,0.0,4.8,16.3,36.75,0.444,12.9,27.75,0.465,3.4,9.0,0.378,5.8,7.85,0.739
Mitchell Creek,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,2,43.5,31.5,9.0,7.0,16.0,4.5,1.0,1.0,1.0,3.5,7.5,6.5,13.5,23.0,0.587,13.5,22.5,0.6,0.0,0.5,0.0,4.5,9.5,0.474
Gili Smolboard,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,4,43.5,23.75,4.0,0.75,4.75,3.25,3.5,0.0,0.0,4.25,0.0,8.0,6.25,19.25,0.325,2.5,8.75,0.286,3.75,10.5,0.357,7.5,9.75,0.769
Tracy Tuesley,Whittlesea,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333,2,43.5,12.5,10.5,9.5,20.0,0.0,4.0,0.5,0.0,4.5,0.0,9.0,6.0,15.0,0.4,6.0,14.5,0.414,0.0,0.5,0.0,0.5,2.0,0.25
Timothy Gainey,Warrnambool,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,15,43.47,21.47,8.87,4.07,12.93,1.87,2.07,2.27,0.87,3.33,4.8,4.07,7.87,19.53,0.403,6.0,14.27,0.42,1.87,5.27,0.355,3.87,5.47,0.707
Vashon Weaver,Latrobe City,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,22,43.41,27.73,6.82,2.45,9.27,4.64,2.18,0.64,0.0,3.64,0.0,5.55,10.68,25.05,0.426,10.14,22.09,0.459,0.55,2.95,0.186,6.91,9.91,0.697
Daryl Corletto,Melbourne,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,16,43.31,21.06,5.69,0.62,6.31,8.88,1.31,0.19,0.31,1.69,3.44,2.56,6.75,13.19,0.512,4.25,7.44,0.571,2.5,5.75,0.435,5.06,5.5,0.92
Jason Pepper,Shepparton,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,28,43.25,25.89,7.61,3.29,10.89,3.21,3.71,0.57,0.0,3.82,0.0,5.11,11.36,22.5,0.505,10.46,19.61,0.533,0.89,2.89,0.308,4.07,6.43,0.633
Jordan Hill,Shepparton,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,8,43.25,24.88,7.12,0.75,7.88,4.12,1.5,0.38,0.0,4.0,0.0,3.25,9.0,20.5,0.439,4.5,8.75,0.514,4.5,11.75,0.383,2.38,3.5,0.68
Bobby Cunningham,Warrnambool,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,23,43.22,17.96,10.26,2.7,12.96,9.39,3.52,0.22,0.0,4.09,0.0,6.13,8.48,23.39,0.363,6.09,15.48,0.393,2.39,7.91,0.302,3.39,4.52,0.75
Matthew Gange,Mildura,Division One Men,Division 1 Men,Senior,Male,2007,0.833333333,26,43.19,24.12,6.08,2.27,8.35,3.08,1.81,0.31,0.0,2.19,0.0,3.46,8.58,19.04,0.451,5.38,11.15,0.483,3.19,7.88,0.405,3.77,5.04,0.748
Dionne Fenton,Wyndham,Championship Women 2002,Championship Women,Senior,Female,2002,0.833333333,24,43.12,16.83,8.54,4.92,13.46,1.12,1.71,1.25,0.0,2.54,0.0,4.62,6.67,16.33,0.408,6.67,16.12,0.414,0.0,0.21,0.0,3.5,6.71,0.522
Jane Chalmers,Echuca,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,10,43.1,18.0,5.6,1.9,7.5,7.0,3.9,0.2,0.0,4.1,0.0,6.4,6.8,21.1,0.322,6.6,18.8,0.351,0.2,2.3,0.087,4.6,6.5,0.708
